,MSN,StateCode,Year,Amount,State,CO2 Emissions (Mmt),TotalNumberofInvestments,TotalAmountofAssistance
581,BDPRP,MD,2015,0.0,Maryland,62.28032684,100,1890491
584,CLPRB,MD,2015,45587.0,Maryland,62.28032684,100,1890491
589,ENPRP,MD,2015,0.0,Maryland,62.28032684,100,1890491
590,GETCB,MD,2015,570.0,Maryland,62.28032684,100,1890491
591,HYTCB,MD,2015,15127.0,Maryland,62.28032684,100,1890491
592,NCPRB,MD,2015,24122.0,Maryland,62.28032684,100,1890491
593,NGMPB,MD,2015,40.0,Maryland,62.28032684,100,1890491
596,NUETB,MD,2015,153140.0,Maryland,62.28032684,100,1890491
597,PAPRB,MD,2015,0.0,Maryland,62.28032684,100,1890491
599,REPRB,MD,2015,47614.0,Maryland,62.28032684,100,1890491
600,SOTCB,MD,2015,4375.0,Maryland,62.28032684,100,1890491
601,TEPRB,MD,2015,246381.0,Maryland,62.28032684,100,1890491
602,TETCB,MD,2015,1424201.0,Maryland,62.28032684,100,1890491
603,WDEXB,MD,2015,0.0,Maryland,62.28032684,100,1890491
604,WDPRB,MD,2015,14425.0,Maryland,62.28032684,100,1890491
605,WDTCB,MD,2015,14425.0,Maryland,62.28032684,100,1890491
606,WSTCB,MD,2015,9067.0,Maryland,62.28032684,100,1890491
607,WWPRB,MD,2015,23492.0,Maryland,62.28032684,100,1890491
608,WYTCB,MD,2015,4050.0,Maryland,62.28032684,100,1890491
2100,BDPRP,MD,2016,0.0,Maryland,60.46760995,65,1349074
2103,CLPRB,MD,2016,37859.0,Maryland,60.46760995,65,1349074
2108,ENPRP,MD,2016,0.0,Maryland,60.46760995,65,1349074
2109,GETCB,MD,2016,570.0,Maryland,60.46760995,65,1349074
2110,HYTCB,MD,2016,12853.0,Maryland,60.46760995,65,1349074
2111,NCPRB,MD,2016,25123.0,Maryland,60.46760995,65,1349074
2112,NGMPB,MD,2016,36.0,Maryland,60.46760995,65,1349074
2115,NUETB,MD,2016,154377.0,Maryland,60.46760995,65,1349074
2116,PAPRB,MD,2016,0.0,Maryland,60.46760995,65,1349074
2118,REPRB,MD,2016,48237.0,Maryland,60.46760995,65,1349074
2119,SOTCB,MD,2016,6834.0,Maryland,60.46760995,65,1349074
2120,TEPRB,MD,2016,240509.0,Maryland,60.46760995,65,1349074
2121,TETCB,MD,2016,1386648.0,Maryland,60.46760995,65,1349074
2122,WDEXB,MD,2016,0.0,Maryland,60.46760995,65,1349074
2123,WDPRB,MD,2016,14188.0,Maryland,60.46760995,65,1349074
2124,WDTCB,MD,2016,14188.0,Maryland,60.46760995,65,1349074
2125,WSTCB,MD,2016,8927.0,Maryland,60.46760995,65,1349074
2126,WWPRB,MD,2016,23115.0,Maryland,60.46760995,65,1349074
2127,WYTCB,MD,2016,4866.0,Maryland,60.46760995,65,1349074
3619,BDPRP,MD,2017,0.0,Maryland,55.040273,48,6343700
3622,CLPRB,MD,2017,42804.0,Maryland,55.040273,48,6343700
3627,ENPRP,MD,2017,0.0,Maryland,55.040273,48,6343700
3628,GETCB,MD,2017,570.0,Maryland,55.040273,48,6343700
3629,HYTCB,MD,2017,18108.0,Maryland,55.040273,48,6343700
3630,NCPRB,MD,2017,33197.0,Maryland,55.040273,48,6343700
3631,NGMPB,MD,2017,34.0,Maryland,55.040273,48,6343700
3634,NUETB,MD,2017,158004.0,Maryland,55.040273,48,6343700
3635,PAPRB,MD,2017,0.0,Maryland,55.040273,48,6343700
3637,REPRB,MD,2017,55339.0,Maryland,55.040273,48,6343700
3638,SOTCB,MD,2017,9348.0,Maryland,55.040273,48,6343700
3639,TEPRB,MD,2017,256180.0,Maryland,55.040273,48,6343700
3640,TETCB,MD,2017,1346703.0,Maryland,55.040273,48,6343700
3641,WDEXB,MD,2017,0.0,Maryland,55.040273,48,6343700
3642,WDPRB,MD,2017,12954.0,Maryland,55.040273,48,6343700
3643,WDTCB,MD,2017,12954.0,Maryland,55.040273,48,6343700
