,MSN,StateCode,Year,Amount,State,CO2 Emissions (Mmt),TotalNumberofInvestments,TotalAmountofAssistance
697,BDPRP,MO,2015,3237.0,Missouri,124.7473311,619,7036095
700,CLPRB,MO,2015,3178.0,Missouri,124.7473311,619,7036095
705,ENPRP,MO,2015,6506.0,Missouri,124.7473311,619,7036095
706,GETCB,MO,2015,352.0,Missouri,124.7473311,619,7036095
707,HYTCB,MO,2015,14864.0,Missouri,124.7473311,619,7036095
708,NCPRB,MO,2015,26386.0,Missouri,124.7473311,619,7036095
709,NGMPB,MO,2015,1.0,Missouri,124.7473311,619,7036095
712,NUETB,MO,2015,109182.0,Missouri,124.7473311,619,7036095
713,PAPRB,MO,2015,852.0,Missouri,124.7473311,619,7036095
715,REPRB,MO,2015,105635.0,Missouri,124.7473311,619,7036095
716,SOTCB,MO,2015,1542.0,Missouri,124.7473311,619,7036095
717,TEPRB,MO,2015,218848.0,Missouri,124.7473311,619,7036095
718,TETCB,MO,2015,1831407.0,Missouri,124.7473311,619,7036095
719,WDEXB,MO,2015,0.0,Missouri,124.7473311,619,7036095
720,WDPRB,MO,2015,22108.0,Missouri,124.7473311,619,7036095
721,WDTCB,MO,2015,22108.0,Missouri,124.7473311,619,7036095
722,WSTCB,MO,2015,2417.0,Missouri,124.7473311,619,7036095
723,WWPRB,MO,2015,24526.0,Missouri,124.7473311,619,7036095
724,WYTCB,MO,2015,9627.0,Missouri,124.7473311,619,7036095
2216,BDPRP,MO,2016,3872.0,Missouri,119.0157079,520,10631411
2219,CLPRB,MO,2016,5125.0,Missouri,119.0157079,520,10631411
2224,ENPRP,MO,2016,6646.0,Missouri,119.0157079,520,10631411
2225,GETCB,MO,2016,352.0,Missouri,119.0157079,520,10631411
2226,HYTCB,MO,2016,11711.0,Missouri,119.0157079,520,10631411
2227,NCPRB,MO,2016,24297.0,Missouri,119.0157079,520,10631411
2228,NGMPB,MO,2016,1.0,Missouri,119.0157079,520,10631411
2231,NUETB,MO,2016,98630.0,Missouri,119.0157079,520,10631411
2232,PAPRB,MO,2016,704.0,Missouri,119.0157079,520,10631411
2234,REPRB,MO,2016,105876.0,Missouri,119.0157079,520,10631411
2235,SOTCB,MO,2016,1876.0,Missouri,119.0157079,520,10631411
2236,TEPRB,MO,2016,210336.0,Missouri,119.0157079,520,10631411
2237,TETCB,MO,2016,1781656.0,Missouri,119.0157079,520,10631411
2238,WDEXB,MO,2016,0.0,Missouri,119.0157079,520,10631411
2239,WDPRB,MO,2016,20211.0,Missouri,119.0157079,520,10631411
2240,WDTCB,MO,2016,20211.0,Missouri,119.0157079,520,10631411
2241,WSTCB,MO,2016,2441.0,Missouri,119.0157079,520,10631411
2242,WWPRB,MO,2016,22652.0,Missouri,119.0157079,520,10631411
2243,WYTCB,MO,2016,10357.0,Missouri,119.0157079,520,10631411
3735,BDPRP,MO,2017,4066.0,Missouri,124.5052275,316,4957942
3738,CLPRB,MO,2017,5321.0,Missouri,124.5052275,316,4957942
3743,ENPRP,MO,2017,6828.0,Missouri,124.5052275,316,4957942
3744,GETCB,MO,2017,352.0,Missouri,124.5052275,316,4957942
