,MSN,StateCode,Year,Amount,State,CO2 Emissions (Mmt),TotalNumberofInvestments,TotalAmountofAssistance
755,BDPRP,MT,2015,0.0,Montana,32.53164542,94,896759
758,CLPRB,MT,2015,746222.0,Montana,32.53164542,94,896759
763,ENPRP,MT,2015,0.0,Montana,32.53164542,94,896759
764,GETCB,MT,2015,337.0,Montana,32.53164542,94,896759
765,HYTCB,MT,2015,92144.0,Montana,32.53164542,94,896759
766,NCPRB,MT,2015,110876.0,Montana,32.53164542,94,896759
767,NGMPB,MT,2015,55943.0,Montana,32.53164542,94,896759
770,NUETB,MT,2015,0.0,Montana,32.53164542,94,896759
771,PAPRB,MT,2015,163249.0,Montana,32.53164542,94,896759
773,REPRB,MT,2015,125018.0,Montana,32.53164542,94,896759
774,SOTCB,MT,2015,85.0,Montana,32.53164542,94,896759
775,TEPRB,MT,2015,1090432.0,Montana,32.53164542,94,896759
776,TETCB,MT,2015,403641.0,Montana,32.53164542,94,896759
777,WDEXB,MT,2015,0.0,Montana,32.53164542,94,896759
778,WDPRB,MT,2015,13759.0,Montana,32.53164542,94,896759
779,WDTCB,MT,2015,13759.0,Montana,32.53164542,94,896759
780,WSTCB,MT,2015,383.0,Montana,32.53164542,94,896759
781,WWPRB,MT,2015,14143.0,Montana,32.53164542,94,896759
782,WYTCB,MT,2015,18309.0,Montana,32.53164542,94,896759
2274,BDPRP,MT,2016,1.0,Montana,31.13795175,90,2257495
2277,CLPRB,MT,2016,572787.0,Montana,31.13795175,90,2257495
2282,ENPRP,MT,2016,0.0,Montana,31.13795175,90,2257495
2283,GETCB,MT,2016,337.0,Montana,31.13795175,90,2257495
2284,HYTCB,MT,2016,93082.0,Montana,31.13795175,90,2257495
2285,NCPRB,MT,2016,113287.0,Montana,31.13795175,90,2257495
2286,NGMPB,MT,2016,52130.0,Montana,31.13795175,90,2257495
2289,NUETB,MT,2016,0.0,Montana,31.13795175,90,2257495
2290,PAPRB,MT,2016,132625.0,Montana,31.13795175,90,2257495
2292,REPRB,MT,2016,128095.0,Montana,31.13795175,90,2257495
2293,SOTCB,MT,2016,110.0,Montana,31.13795175,90,2257495
2294,TEPRB,MT,2016,885637.0,Montana,31.13795175,90,2257495
2295,TETCB,MT,2016,406422.0,Montana,31.13795175,90,2257495
2296,WDEXB,MT,2016,0.0,Montana,31.13795175,90,2257495
2297,WDPRB,MT,2016,14414.0,Montana,31.13795175,90,2257495
2298,WDTCB,MT,2016,14414.0,Montana,31.13795175,90,2257495
2299,WSTCB,MT,2016,392.0,Montana,31.13795175,90,2257495
2300,WWPRB,MT,2016,14805.0,Montana,31.13795175,90,2257495
2301,WYTCB,MT,2016,19758.0,Montana,31.13795175,90,2257495
3793,BDPRP,MT,2017,0.0,Montana,31.25081171,93,1091494
3796,CLPRB,MT,2017,624772.0,Montana,31.25081171,93,1091494
3801,ENPRP,MT,2017,0.0,Montana,31.25081171,93,1091494
3802,GETCB,MT,2017,337.0,Montana,31.25081171,93,1091494
3803,HYTCB,MT,2017,100850.0,Montana,31.25081171,93,1091494
3804,NCPRB,MT,2017,121314.0,Montana,31.25081171,93,1091494
3805,NGMPB,MT,2017,50821.0,Montana,31.25081171,93,1091494
3808,NUETB,MT,2017,0.0,Montana,31.25081171,93,1091494
3809,PAPRB,MT,2017,118586.0,Montana,31.25081171,93,1091494
3811,REPRB,MT,2017,136249.0,Montana,31.25081171,93,1091494
3812,SOTCB,MT,2017,275.0,Montana,31.25081171,93,1091494
3813,TEPRB,MT,2017,930429.0,Montana,31.25081171,93,1091494
3814,TETCB,MT,2017,422863.0,Montana,31.25081171,93,1091494
3815,WDEXB,MT,2017,0.0,Montana,31.25081171,93,1091494
3816,WDPRB,MT,2017,14543.0,Montana,31.25081171,93,1091494
3817,WDTCB,MT,2017,14543.0,Montana,31.25081171,93,1091494
3818,WSTCB,MT,2017,389.0,Montana,31.25081171,93,1091494
3819,WWPRB,MT,2017,14933.0,Montana,31.25081171,93,1091494
3820,WYTCB,MT,2017,19852.0,Montana,31.25081171,93,1091494
5312,BDPRP,MT,2018,0.0,Montana,31.25796736,114,2449554
5315,CLPRB,MT,2018,684031.0,Montana,31.25796736,114,2449554
5320,ENPRP,MT,2018,0.0,Montana,31.25796736,114,2449554
5321,GETCB,MT,2018,337.0,Montana,31.25796736,114,2449554
5322,HYTCB,MT,2018,103828.0,Montana,31.25796736,114,2449554
5323,NCPRB,MT,2018,124266.0,Montana,31.25796736,114,2449554
5324,NGMPB,MT,2018,47712.0,Montana,31.25796736,114,2449554
5327,NUETB,MT,2018,0.0,Montana,31.25796736,114,2449554
5328,PAPRB,MT,2018,123027.0,Montana,31.25796736,114,2449554
5330,REPRB,MT,2018,143018.0,Montana,31.25796736,114,2449554
5331,SOTCB,MT,2018,497.0,Montana,31.25796736,114,2449554
5332,TEPRB,MT,2018,997789.0,Montana,31.25796736,114,2449554
5333,TETCB,MT,2018,436316.0,Montana,31.25796736,114,2449554
5334,WDEXB,MT,2018,0.0,Montana,31.25796736,114,2449554
5335,WDPRB,MT,2018,18334.0,Montana,31.25796736,114,2449554
5336,WDTCB,MT,2018,18334.0,Montana,31.25796736,114,2449554
5337,WSTCB,MT,2018,417.0,Montana,31.25796736,114,2449554
5338,WWPRB,MT,2018,18751.0,Montana,31.25796736,114,2449554
5339,WYTCB,MT,2018,19604.0,Montana,31.25796736,114,2449554
6831,BDPRP,MT,2019,0.0,Montana,32.28539515,61,618074
6834,CLPRB,MT,2019,608890.0,Montana,32.28539515,61,618074
6839,ENPRP,MT,2019,0.0,Montana,32.28539515,61,618074
6840,GETCB,MT,2019,337.0,Montana,32.28539515,61,618074
6841,HYTCB,MT,2019,89090.0,Montana,32.28539515,61,618074
6842,NCPRB,MT,2019,111051.0,Montana,32.28539515,61,618074
6843,NGMPB,MT,2019,47967.0,Montana,32.28539515,61,618074
6846,NUETB,MT,2019,0.0,Montana,32.28539515,61,618074
6847,PAPRB,MT,2019,130946.0,Montana,32.28539515,61,618074
6849,REPRB,MT,2019,129217.0,Montana,32.28539515,61,618074
6850,SOTCB,MT,2019,489.0,Montana,32.28539515,61,618074
6851,TEPRB,MT,2019,917020.0,Montana,32.28539515,61,618074
6852,TETCB,MT,2019,445912.0,Montana,32.28539515,61,618074
6853,WDEXB,MT,2019,0.0,Montana,32.28539515,61,618074
6854,WDPRB,MT,2019,17772.0,Montana,32.28539515,61,618074
6855,WDTCB,MT,2019,17772.0,Montana,32.28539515,61,618074
6856,WSTCB,MT,2019,393.0,Montana,32.28539515,61,618074
6857,WWPRB,MT,2019,18165.0,Montana,32.28539515,61,618074
6858,WYTCB,MT,2019,21135.0,Montana,32.28539515,61,618074
