,MSN,StateCode,Year,Amount,State,CO2 Emissions (Mmt),TotalNumberofInvestments,TotalAmountofAssistance
784,BDPRP,NC,2015,47.0,North Carolina,124.7782841,232,202376181
787,CLPRB,NC,2015,0.0,North Carolina,124.7782841,232,202376181
792,ENPRP,NC,2015,0.0,North Carolina,124.7782841,232,202376181
793,GETCB,NC,2015,967.0,North Carolina,124.7782841,232,202376181
794,HYTCB,NC,2015,44191.0,North Carolina,124.7782841,232,202376181
795,NCPRB,NC,2015,59028.0,North Carolina,124.7782841,232,202376181
796,NGMPB,NC,2015,0.0,North Carolina,124.7782841,232,202376181
799,NUETB,NC,2015,440248.0,North Carolina,124.7782841,232,202376181
800,PAPRB,NC,2015,0.0,North Carolina,124.7782841,232,202376181
802,REPRB,NC,2015,170008.0,North Carolina,124.7782841,232,202376181
803,SOTCB,NC,2015,13870.0,North Carolina,124.7782841,232,202376181
804,TEPRB,NC,2015,610256.0,North Carolina,124.7782841,232,202376181
805,TETCB,NC,2015,2595919.0,North Carolina,124.7782841,232,202376181
806,WDEXB,NC,2015,0.0,North Carolina,124.7782841,232,202376181
807,WDPRB,NC,2015,101592.0,North Carolina,124.7782841,232,202376181
808,WDTCB,NC,2015,101592.0,North Carolina,124.7782841,232,202376181
809,WSTCB,NC,2015,9132.0,North Carolina,124.7782841,232,202376181
810,WWPRB,NC,2015,110724.0,North Carolina,124.7782841,232,202376181
811,WYTCB,NC,2015,0.0,North Carolina,124.7782841,232,202376181
2303,BDPRP,NC,2016,78.0,North Carolina,124.895788,156,190472938
2306,CLPRB,NC,2016,0.0,North Carolina,124.895788,156,190472938
2311,ENPRP,NC,2016,0.0,North Carolina,124.895788,156,190472938
2312,GETCB,NC,2016,967.0,North Carolina,124.895788,156,190472938
2313,HYTCB,NC,2016,40779.0,North Carolina,124.895788,156,190472938
2314,NCPRB,NC,2016,75202.0,North Carolina,124.895788,156,190472938
2315,NGMPB,NC,2016,0.0,North Carolina,124.895788,156,190472938
2318,NUETB,NC,2016,447500.0,North Carolina,124.895788,156,190472938
2319,PAPRB,NC,2016,0.0,North Carolina,124.895788,156,190472938
2321,REPRB,NC,2016,199520.0,North Carolina,124.895788,156,190472938
2322,SOTCB,NC,2016,33397.0,North Carolina,124.895788,156,190472938
2323,TEPRB,NC,2016,647020.0,North Carolina,124.895788,156,190472938
2324,TETCB,NC,2016,2619589.0,North Carolina,124.895788,156,190472938
2325,WDEXB,NC,2016,17887.0,North Carolina,124.895788,156,190472938
2326,WDPRB,NC,2016,114422.0,North Carolina,124.895788,156,190472938
2327,WDTCB,NC,2016,96534.0,North Carolina,124.895788,156,190472938
2328,WSTCB,NC,2016,9472.0,North Carolina,124.895788,156,190472938
2329,WWPRB,NC,2016,123894.0,North Carolina,124.895788,156,190472938
2330,WYTCB,NC,2016,58.0,North Carolina,124.895788,156,190472938
3822,BDPRP,NC,2017,41.0,North Carolina,121.1493749,149,235434075
3825,CLPRB,NC,2017,0.0,North Carolina,121.1493749,149,235434075
3830,ENPRP,NC,2017,0.0,North Carolina,121.1493749,149,235434075
3831,GETCB,NC,2017,967.0,North Carolina,121.1493749,149,235434075
3832,HYTCB,NC,2017,35175.0,North Carolina,121.1493749,149,235434075
3833,NCPRB,NC,2017,89578.0,North Carolina,121.1493749,149,235434075
3834,NGMPB,NC,2017,0.0,North Carolina,121.1493749,149,235434075
3837,NUETB,NC,2017,443192.0,North Carolina,121.1493749,149,235434075
3838,PAPRB,NC,2017,0.0,North Carolina,121.1493749,149,235434075
3840,REPRB,NC,2017,215578.0,North Carolina,121.1493749,149,235434075
3841,SOTCB,NC,2017,49099.0,North Carolina,121.1493749,149,235434075
3842,TEPRB,NC,2017,658771.0,North Carolina,121.1493749,149,235434075
3843,TETCB,NC,2017,2575147.0,North Carolina,121.1493749,149,235434075
3844,WDEXB,NC,2017,17708.0,North Carolina,121.1493749,149,235434075
3845,WDPRB,NC,2017,115730.0,North Carolina,121.1493749,149,235434075
3846,WDTCB,NC,2017,98021.0,North Carolina,121.1493749,149,235434075
3847,WSTCB,NC,2017,10048.0,North Carolina,121.1493749,149,235434075
3848,WWPRB,NC,2017,125778.0,North Carolina,121.1493749,149,235434075
3849,WYTCB,NC,2017,4337.0,North Carolina,121.1493749,149,235434075
5341,BDPRP,NC,2018,37.0,North Carolina,124.2127343,132,141776088
5344,CLPRB,NC,2018,0.0,North Carolina,124.2127343,132,141776088
5349,ENPRP,NC,2018,0.0,North Carolina,124.2127343,132,141776088
5350,GETCB,NC,2018,967.0,North Carolina,124.2127343,132,141776088
5351,HYTCB,NC,2018,60136.0,North Carolina,124.2127343,132,141776088
5352,NCPRB,NC,2018,123878.0,North Carolina,124.2127343,132,141776088
5353,NGMPB,NC,2018,0.0,North Carolina,124.2127343,132,141776088
5356,NUETB,NC,2018,439915.0,North Carolina,124.2127343,132,141776088
5357,PAPRB,NC,2018,0.0,North Carolina,124.2127343,132,141776088
5359,REPRB,NC,2018,248825.0,North Carolina,124.2127343,132,141776088
5360,SOTCB,NC,2018,57834.0,North Carolina,124.2127343,132,141776088
5361,TEPRB,NC,2018,688740.0,North Carolina,124.2127343,132,141776088
5362,TETCB,NC,2018,2685032.0,North Carolina,124.2127343,132,141776088
5363,WDEXB,NC,2018,19969.0,North Carolina,124.2127343,132,141776088
5364,WDPRB,NC,2018,115308.0,North Carolina,124.2127343,132,141776088
5365,WDTCB,NC,2018,95339.0,North Carolina,124.2127343,132,141776088
5366,WSTCB,NC,2018,9439.0,North Carolina,124.2127343,132,141776088
5367,WWPRB,NC,2018,124748.0,North Carolina,124.2127343,132,141776088
5368,WYTCB,NC,2018,4941.0,North Carolina,124.2127343,132,141776088
6860,BDPRP,NC,2019,35.0,North Carolina,122.6043034,115,126884709
6863,CLPRB,NC,2019,0.0,North Carolina,122.6043034,115,126884709
6868,ENPRP,NC,2019,0.0,North Carolina,122.6043034,115,126884709
6869,GETCB,NC,2019,967.0,North Carolina,122.6043034,115,126884709
6870,HYTCB,NC,2019,55084.0,North Carolina,122.6043034,115,126884709
6871,NCPRB,NC,2019,129772.0,North Carolina,122.6043034,115,126884709
6872,NGMPB,NC,2019,0.0,North Carolina,122.6043034,115,126884709
6875,NUETB,NC,2019,437683.0,North Carolina,122.6043034,115,126884709
6876,PAPRB,NC,2019,0.0,North Carolina,122.6043034,115,126884709
6878,REPRB,NC,2019,254022.0,North Carolina,122.6043034,115,126884709
6879,SOTCB,NC,2019,69062.0,North Carolina,122.6043034,115,126884709
6880,TEPRB,NC,2019,691705.0,North Carolina,122.6043034,115,126884709
6881,TETCB,NC,2019,2656262.0,North Carolina,122.6043034,115,126884709
6882,WDEXB,NC,2019,19912.0,North Carolina,122.6043034,115,126884709
