,MSN,StateCode,Year,Amount,State,CO2 Emissions (Mmt),TotalNumberofInvestments,TotalAmountofAssistance
813,BDPRP,ND,2015,1573.0,North Dakota,57.9230603,16,420940
816,CLPRB,ND,2015,392183.0,North Dakota,57.9230603,16,420940
821,ENPRP,ND,2015,8626.0,North Dakota,57.9230603,16,420940
822,GETCB,ND,2015,978.0,North Dakota,57.9230603,16,420940
823,HYTCB,ND,2015,19516.0,North Dakota,57.9230603,16,420940
824,NCPRB,ND,2015,81127.0,North Dakota,57.9230603,16,420940
825,NGMPB,ND,2015,678977.0,North Dakota,57.9230603,16,420940
828,NUETB,ND,2015,0.0,North Dakota,57.9230603,16,420940
829,PAPRB,ND,2015,2456200.0,North Dakota,57.9230603,16,420940
831,REPRB,ND,2015,141748.0,North Dakota,57.9230603,16,420940
832,SOTCB,ND,2015,7.0,North Dakota,57.9230603,16,420940
833,TEPRB,ND,2015,3669109.0,North Dakota,57.9230603,16,420940
834,TETCB,ND,2015,608353.0,North Dakota,57.9230603,16,420940
835,WDEXB,ND,2015,0.0,North Dakota,57.9230603,16,420940
836,WDPRB,ND,2015,865.0,North Dakota,57.9230603,16,420940
837,WDTCB,ND,2015,865.0,North Dakota,57.9230603,16,420940
838,WSTCB,ND,2015,1971.0,North Dakota,57.9230603,16,420940
839,WWPRB,ND,2015,2835.0,North Dakota,57.9230603,16,420940
840,WYTCB,ND,2015,60627.0,North Dakota,57.9230603,16,420940
2332,BDPRP,ND,2016,1703.0,North Dakota,54.93206111,24,502584
2335,CLPRB,ND,2016,399856.0,North Dakota,54.93206111,24,502584
2340,ENPRP,ND,2016,9884.0,North Dakota,54.93206111,24,502584
2341,GETCB,ND,2016,978.0,North Dakota,54.93206111,24,502584
2342,HYTCB,ND,2016,17652.0,North Dakota,54.93206111,24,502584
2343,NCPRB,ND,2016,94079.0,North Dakota,54.93206111,24,502584
2344,NGMPB,ND,2016,766865.0,North Dakota,54.93206111,24,502584
2347,NUETB,ND,2016,0.0,North Dakota,54.93206111,24,502584
2348,PAPRB,ND,2016,2161886.0,North Dakota,54.93206111,24,502584
2350,REPRB,ND,2016,162635.0,North Dakota,54.93206111,24,502584
2351,SOTCB,ND,2016,7.0,North Dakota,54.93206111,24,502584
2352,TEPRB,ND,2016,3491242.0,North Dakota,54.93206111,24,502584
2353,TETCB,ND,2016,583657.0,North Dakota,54.93206111,24,502584
2354,WDEXB,ND,2016,0.0,North Dakota,54.93206111,24,502584
2355,WDPRB,ND,2016,1021.0,North Dakota,54.93206111,24,502584
2356,WDTCB,ND,2016,1021.0,North Dakota,54.93206111,24,502584
2357,WSTCB,ND,2016,1928.0,North Dakota,54.93206111,24,502584
2358,WWPRB,ND,2016,2949.0,North Dakota,54.93206111,24,502584
2359,WYTCB,ND,2016,75443.0,North Dakota,54.93206111,24,502584
3851,BDPRP,ND,2017,1912.0,North Dakota,56.92163503,19,477713
3854,CLPRB,ND,2017,394022.0,North Dakota,56.92163503,19,477713
3859,ENPRP,ND,2017,12205.0,North Dakota,56.92163503,19,477713
3860,GETCB,ND,2017,978.0,North Dakota,56.92163503,19,477713
3861,HYTCB,ND,2017,23789.0,North Dakota,56.92163503,19,477713
3862,NCPRB,ND,2017,129426.0,North Dakota,56.92163503,19,477713
3863,NGMPB,ND,2017,857330.0,North Dakota,56.92163503,19,477713
3866,NUETB,ND,2017,0.0,North Dakota,56.92163503,19,477713
3867,PAPRB,ND,2017,2235455.0,North Dakota,56.92163503,19,477713
3869,REPRB,ND,2017,212086.0,North Dakota,56.92163503,19,477713
3870,SOTCB,ND,2017,7.0,North Dakota,56.92163503,19,477713
3871,TEPRB,ND,2017,3698893.0,North Dakota,56.92163503,19,477713
3872,TETCB,ND,2017,633995.0,North Dakota,56.92163503,19,477713
3873,WDEXB,ND,2017,0.0,North Dakota,56.92163503,19,477713
3874,WDPRB,ND,2017,839.0,North Dakota,56.92163503,19,477713
3875,WDTCB,ND,2017,839.0,North Dakota,56.92163503,19,477713
3876,WSTCB,ND,2017,1837.0,North Dakota,56.92163503,19,477713
3877,WWPRB,ND,2017,2676.0,North Dakota,56.92163503,19,477713
3878,WYTCB,ND,2017,104653.0,North Dakota,56.92163503,19,477713
5370,BDPRP,ND,2018,1796.0,North Dakota,59.282972,30,520857
5373,CLPRB,ND,2018,399835.0,North Dakota,59.282972,30,520857
5378,ENPRP,ND,2018,12242.0,North Dakota,59.282972,30,520857
5379,GETCB,ND,2018,978.0,North Dakota,59.282972,30,520857
5380,HYTCB,ND,2018,28952.0,North Dakota,59.282972,30,520857
5381,NCPRB,ND,2018,127650.0,North Dakota,59.282972,30,520857
5382,NGMPB,ND,2018,993022.0,North Dakota,59.282972,30,520857
5385,NUETB,ND,2018,0.0,North Dakota,59.282972,30,520857
5386,PAPRB,ND,2018,2627271.0,North Dakota,59.282972,30,520857
5388,REPRB,ND,2018,209189.0,North Dakota,59.282972,30,520857
5389,SOTCB,ND,2018,8.0,North Dakota,59.282972,30,520857
5390,TEPRB,ND,2018,4229317.0,North Dakota,59.282972,30,520857
5391,TETCB,ND,2018,663153.0,North Dakota,59.282972,30,520857
5392,WDEXB,ND,2018,0.0,North Dakota,59.282972,30,520857
5393,WDPRB,ND,2018,837.0,North Dakota,59.282972,30,520857
5394,WDTCB,ND,2018,837.0,North Dakota,59.282972,30,520857
5395,WSTCB,ND,2018,1057.0,North Dakota,59.282972,30,520857
5396,WWPRB,ND,2018,1894.0,North Dakota,59.282972,30,520857
5397,WYTCB,ND,2018,97712.0,North Dakota,59.282972,30,520857
6889,BDPRP,ND,2019,1789.0,North Dakota,57.15288871,18,759349
6892,CLPRB,ND,2019,361946.0,North Dakota,57.15288871,18,759349
6897,ENPRP,ND,2019,12407.0,North Dakota,57.15288871,18,759349
6898,GETCB,ND,2019,978.0,North Dakota,57.15288871,18,759349
6899,HYTCB,ND,2019,28312.0,North Dakota,57.15288871,18,759349
6900,NCPRB,ND,2019,129152.0,North Dakota,57.15288871,18,759349
6901,NGMPB,ND,2019,1187235.0,North Dakota,57.15288871,18,759349
6904,NUETB,ND,2019,0.0,North Dakota,57.15288871,18,759349
