,MSN,StateCode,Year,Amount,State,CO2 Emissions (Mmt),TotalNumberofInvestments,TotalAmountofAssistance
929,BDPRP,NM,2015,0.0,New Mexico,50.69183199,50,1126396
932,CLPRB,NM,2015,357525.0,New Mexico,50.69183199,50,1126396
937,ENPRP,NM,2015,0.0,New Mexico,50.69183199,50,1126396
938,GETCB,NM,2015,458.0,New Mexico,50.69183199,50,1126396
939,HYTCB,NM,2015,927.0,New Mexico,50.69183199,50,1126396
940,NCPRB,NM,2015,28119.0,New Mexico,50.69183199,50,1126396
941,NGMPB,NM,2015,1436329.0,New Mexico,50.69183199,50,1126396
944,NUETB,NM,2015,0.0,New Mexico,50.69183199,50,1126396
945,PAPRB,NM,2015,846659.0,New Mexico,50.69183199,50,1126396
947,REPRB,NM,2015,38811.0,New Mexico,50.69183199,50,1126396
948,SOTCB,NM,2015,7257.0,New Mexico,50.69183199,50,1126396
949,TEPRB,NM,2015,2679324.0,New Mexico,50.69183199,50,1126396
950,TETCB,NM,2015,681082.0,New Mexico,50.69183199,50,1126396
951,WDEXB,NM,2015,0.0,New Mexico,50.69183199,50,1126396
952,WDPRB,NM,2015,10131.0,New Mexico,50.69183199,50,1126396
953,WDTCB,NM,2015,10131.0,New Mexico,50.69183199,50,1126396
954,WSTCB,NM,2015,561.0,New Mexico,50.69183199,50,1126396
955,WWPRB,NM,2015,10692.0,New Mexico,50.69183199,50,1126396
956,WYTCB,NM,2015,19477.0,New Mexico,50.69183199,50,1126396
2448,BDPRP,NM,2016,0.0,New Mexico,48.84541366,28,2015514
2451,CLPRB,NM,2016,246549.0,New Mexico,48.84541366,28,2015514
2456,ENPRP,NM,2016,0.0,New Mexico,48.84541366,28,2015514
2457,GETCB,NM,2016,499.0,New Mexico,48.84541366,28,2015514
2458,HYTCB,NM,2016,1366.0,New Mexico,48.84541366,28,2015514
2459,NCPRB,NM,2016,43741.0,New Mexico,48.84541366,28,2015514
2460,NGMPB,NM,2016,1422598.0,New Mexico,48.84541366,28,2015514
2463,NUETB,NM,2016,0.0,New Mexico,48.84541366,28,2015514
2464,PAPRB,NM,2016,839040.0,New Mexico,48.84541366,28,2015514
2466,REPRB,NM,2016,54822.0,New Mexico,48.84541366,28,2015514
2467,SOTCB,NM,2016,8591.0,New Mexico,48.84541366,28,2015514
2468,TEPRB,NM,2016,2563009.0,New Mexico,48.84541366,28,2015514
2469,TETCB,NM,2016,673638.0,New Mexico,48.84541366,28,2015514
2470,WDEXB,NM,2016,0.0,New Mexico,48.84541366,28,2015514
2471,WDPRB,NM,2016,10673.0,New Mexico,48.84541366,28,2015514
2472,WDTCB,NM,2016,10673.0,New Mexico,48.84541366,28,2015514
2473,WSTCB,NM,2016,407.0,New Mexico,48.84541366,28,2015514
2474,WWPRB,NM,2016,11080.0,New Mexico,48.84541366,28,2015514
2475,WYTCB,NM,2016,33285.0,New Mexico,48.84541366,28,2015514
3967,BDPRP,NM,2017,0.0,New Mexico,49.62030346,47,5893114
3970,CLPRB,NM,2017,257710.0,New Mexico,49.62030346,47,5893114
3975,ENPRP,NM,2017,0.0,New Mexico,49.62030346,47,5893114
3976,GETCB,NM,2017,487.0,New Mexico,49.62030346,47,5893114
3977,HYTCB,NM,2017,1780.0,New Mexico,49.62030346,47,5893114
3978,NCPRB,NM,2017,57673.0,New Mexico,49.62030346,47,5893114
3979,NGMPB,NM,2017,1506770.0,New Mexico,49.62030346,47,5893114
3982,NUETB,NM,2017,0.0,New Mexico,49.62030346,47,5893114
3983,PAPRB,NM,2017,986514.0,New Mexico,49.62030346,47,5893114
3985,REPRB,NM,2017,67408.0,New Mexico,49.62030346,47,5893114
3986,SOTCB,NM,2017,13076.0,New Mexico,49.62030346,47,5893114
3987,TEPRB,NM,2017,2818402.0,New Mexico,49.62030346,47,5893114
3988,TETCB,NM,2017,684366.0,New Mexico,49.62030346,47,5893114
3989,WDEXB,NM,2017,0.0,New Mexico,49.62030346,47,5893114
3990,WDPRB,NM,2017,9312.0,New Mexico,49.62030346,47,5893114
3991,WDTCB,NM,2017,9312.0,New Mexico,49.62030346,47,5893114
3992,WSTCB,NM,2017,423.0,New Mexico,49.62030346,47,5893114
3993,WWPRB,NM,2017,9735.0,New Mexico,49.62030346,47,5893114
3994,WYTCB,NM,2017,42330.0,New Mexico,49.62030346,47,5893114
5486,BDPRP,NM,2018,0.0,New Mexico,45.85390881,22,755535
5489,CLPRB,NM,2018,200179.0,New Mexico,45.85390881,22,755535
5494,ENPRP,NM,2018,0.0,New Mexico,45.85390881,22,755535
5495,GETCB,NM,2018,487.0,New Mexico,45.85390881,22,755535
5496,HYTCB,NM,2018,1361.0,New Mexico,45.85390881,22,755535
5497,NCPRB,NM,2018,72070.0,New Mexico,45.85390881,22,755535
5498,NGMPB,NM,2018,1734539.0,New Mexico,45.85390881,22,755535
5501,NUETB,NM,2018,0.0,New Mexico,45.85390881,22,755535
5502,PAPRB,NM,2018,1421610.0,New Mexico,45.85390881,22,755535
5504,REPRB,NM,2018,85241.0,New Mexico,45.85390881,22,755535
5505,SOTCB,NM,2018,14764.0,New Mexico,45.85390881,22,755535
5506,TEPRB,NM,2018,3441568.0,New Mexico,45.85390881,22,755535
5507,TETCB,NM,2018,703100.0,New Mexico,45.85390881,22,755535
5508,WDEXB,NM,2018,0.0,New Mexico,45.85390881,22,755535
5509,WDPRB,NM,2018,12703.0,New Mexico,45.85390881,22,755535
5510,WDTCB,NM,2018,12703.0,New Mexico,45.85390881,22,755535
5511,WSTCB,NM,2018,468.0,New Mexico,45.85390881,22,755535
5512,WWPRB,NM,2018,13171.0,New Mexico,45.85390881,22,755535
5513,WYTCB,NM,2018,55457.0,New Mexico,45.85390881,22,755535
7005,BDPRP,NM,2019,0.0,New Mexico,48.94208108,12,1493382
7008,CLPRB,NM,2019,268307.0,New Mexico,48.94208108,12,1493382
7013,ENPRP,NM,2019,0.0,New Mexico,48.94208108,12,1493382
7014,GETCB,NM,2019,885.0,New Mexico,48.94208108,12,1493382
7015,HYTCB,NM,2019,1409.0,New Mexico,48.94208108,12,1493382
7016,NCPRB,NM,2019,78715.0,New Mexico,48.94208108,12,1493382
7017,NGMPB,NM,2019,2068295.0,New Mexico,48.94208108,12,1493382
7020,NUETB,NM,2019,0.0,New Mexico,48.94208108,12,1493382
7021,PAPRB,NM,2019,1891645.0,New Mexico,48.94208108,12,1493382
7023,REPRB,NM,2019,94063.0,New Mexico,48.94208108,12,1493382
7024,SOTCB,NM,2019,15047.0,New Mexico,48.94208108,12,1493382
7025,TEPRB,NM,2019,4322310.0,New Mexico,48.94208108,12,1493382
7026,TETCB,NM,2019,738484.0,New Mexico,48.94208108,12,1493382
7027,WDEXB,NM,2019,0.0,New Mexico,48.94208108,12,1493382
7028,WDPRB,NM,2019,14994.0,New Mexico,48.94208108,12,1493382
7029,WDTCB,NM,2019,14994.0,New Mexico,48.94208108,12,1493382
7030,WSTCB,NM,2019,354.0,New Mexico,48.94208108,12,1493382
7031,WWPRB,NM,2019,15348.0,New Mexico,48.94208108,12,1493382
7032,WYTCB,NM,2019,61374.0,New Mexico,48.94208108,12,1493382
