,MSN,StateCode,Year,Amount,State,CO2 Emissions (Mmt),TotalNumberofInvestments,TotalAmountofAssistance
958,BDPRP,NV,2015,0.0,Nevada,38.5171354,16,790588
961,CLPRB,NV,2015,0.0,Nevada,38.5171354,16,790588
966,ENPRP,NV,2015,0.0,Nevada,38.5171354,16,790588
967,GETCB,NV,2015,30535.0,Nevada,38.5171354,16,790588
968,HYTCB,NV,2015,21099.0,Nevada,38.5171354,16,790588
969,NCPRB,NV,2015,72737.0,Nevada,38.5171354,16,790588
970,NGMPB,NV,2015,4.0,Nevada,38.5171354,16,790588
973,NUETB,NV,2015,0.0,Nevada,38.5171354,16,790588
974,PAPRB,NV,2015,1606.0,Nevada,38.5171354,16,790588
976,REPRB,NV,2015,75369.0,Nevada,38.5171354,16,790588
977,SOTCB,NV,2015,18216.0,Nevada,38.5171354,16,790588
978,TEPRB,NV,2015,76979.0,Nevada,38.5171354,16,790588
979,TETCB,NV,2015,697627.0,Nevada,38.5171354,16,790588
980,WDEXB,NV,2015,0.0,Nevada,38.5171354,16,790588
981,WDPRB,NV,2015,2346.0,Nevada,38.5171354,16,790588
982,WDTCB,NV,2015,2346.0,Nevada,38.5171354,16,790588
983,WSTCB,NV,2015,286.0,Nevada,38.5171354,16,790588
984,WWPRB,NV,2015,2632.0,Nevada,38.5171354,16,790588
985,WYTCB,NV,2015,2886.0,Nevada,38.5171354,16,790588
2477,BDPRP,NV,2016,0.0,Nevada,39.97099675,16,54082
2480,CLPRB,NV,2016,0.0,Nevada,39.97099675,16,54082
2485,ENPRP,NV,2016,0.0,Nevada,39.97099675,16,54082
2486,GETCB,NV,2016,32506.0,Nevada,39.97099675,16,54082
2487,HYTCB,NV,2016,16518.0,Nevada,39.97099675,16,54082
2488,NCPRB,NV,2016,85523.0,Nevada,39.97099675,16,54082
2489,NGMPB,NV,2016,3.0,Nevada,39.97099675,16,54082
2492,NUETB,NV,2016,0.0,Nevada,39.97099675,16,54082
2493,PAPRB,NV,2016,1585.0,Nevada,39.97099675,16,54082
2495,REPRB,NV,2016,88587.0,Nevada,39.97099675,16,54082
2496,SOTCB,NV,2016,33324.0,Nevada,39.97099675,16,54082
2497,TEPRB,NV,2016,90175.0,Nevada,39.97099675,16,54082
2498,TETCB,NV,2016,727193.0,Nevada,39.97099675,16,54082
2499,WDEXB,NV,2016,0.0,Nevada,39.97099675,16,54082
2500,WDPRB,NV,2016,2291.0,Nevada,39.97099675,16,54082
2501,WDTCB,NV,2016,2291.0,Nevada,39.97099675,16,54082
2502,WSTCB,NV,2016,773.0,Nevada,39.97099675,16,54082
2503,WWPRB,NV,2016,3064.0,Nevada,39.97099675,16,54082
2504,WYTCB,NV,2016,3175.0,Nevada,39.97099675,16,54082
3996,BDPRP,NV,2017,0.0,Nevada,40.20696595,33,311016629
3999,CLPRB,NV,2017,0.0,Nevada,40.20696595,33,311016629
4004,ENPRP,NV,2017,0.0,Nevada,40.20696595,33,311016629
4005,GETCB,NV,2017,31876.0,Nevada,40.20696595,33,311016629
4006,HYTCB,NV,2017,16700.0,Nevada,40.20696595,33,311016629
4007,NCPRB,NV,2017,94965.0,Nevada,40.20696595,33,311016629
4008,NGMPB,NV,2017,3.0,Nevada,40.20696595,33,311016629
4011,NUETB,NV,2017,0.0,Nevada,40.20696595,33,311016629
4012,PAPRB,NV,2017,1637.0,Nevada,40.20696595,33,311016629
4014,REPRB,NV,2017,98128.0,Nevada,40.20696595,33,311016629
4015,SOTCB,NV,2017,43060.0,Nevada,40.20696595,33,311016629
4016,TEPRB,NV,2017,99768.0,Nevada,40.20696595,33,311016629
4017,TETCB,NV,2017,757955.0,Nevada,40.20696595,33,311016629
4018,WDEXB,NV,2017,0.0,Nevada,40.20696595,33,311016629
4019,WDPRB,NV,2017,2320.0,Nevada,40.20696595,33,311016629
4020,WDTCB,NV,2017,2320.0,Nevada,40.20696595,33,311016629
4021,WSTCB,NV,2017,843.0,Nevada,40.20696595,33,311016629
4022,WWPRB,NV,2017,3163.0,Nevada,40.20696595,33,311016629
4023,WYTCB,NV,2017,3329.0,Nevada,40.20696595,33,311016629
