,MSN,StateCode,Year,Amount,State,CO2 Emissions (Mmt),TotalNumberofInvestments,TotalAmountofAssistance
1016,BDPRP,OH,2015,1273.0,Ohio,211.1966253,175,2513363
1019,CLPRB,OH,2015,417682.0,Ohio,211.1966253,175,2513363
1024,ENPRP,OH,2015,13507.0,Ohio,211.1966253,175,2513363
1025,GETCB,OH,2015,3435.0,Ohio,211.1966253,175,2513363
1026,HYTCB,OH,2015,4256.0,Ohio,211.1966253,175,2513363
1027,NCPRB,OH,2015,20579.0,Ohio,211.1966253,175,2513363
1028,NGMPB,OH,2015,1171552.0,Ohio,211.1966253,175,2513363
1031,NUETB,OH,2015,181726.0,Ohio,211.1966253,175,2513363
1032,PAPRB,OH,2015,152650.0,Ohio,211.1966253,175,2513363
1034,REPRB,OH,2015,164904.0,Ohio,211.1966253,175,2513363
1035,SOTCB,OH,2015,1678.0,Ohio,211.1966253,175,2513363
1036,TEPRB,OH,2015,2088513.0,Ohio,211.1966253,175,2513363
1037,TETCB,OH,2015,3708157.0,Ohio,211.1966253,175,2513363
1038,WDEXB,OH,2015,0.0,Ohio,211.1966253,175,2513363
1039,WDPRB,OH,2015,45462.0,Ohio,211.1966253,175,2513363
1040,WDTCB,OH,2015,45462.0,Ohio,211.1966253,175,2513363
1041,WSTCB,OH,2015,14845.0,Ohio,211.1966253,175,2513363
1042,WWPRB,OH,2015,60307.0,Ohio,211.1966253,175,2513363
1043,WYTCB,OH,2015,11211.0,Ohio,211.1966253,175,2513363
2535,BDPRP,OH,2016,1597.0,Ohio,205.3227286,132,775584
2538,CLPRB,OH,2016,309088.0,Ohio,205.3227286,132,775584
2543,ENPRP,OH,2016,13978.0,Ohio,205.3227286,132,775584
2544,GETCB,OH,2016,3435.0,Ohio,205.3227286,132,775584
2545,HYTCB,OH,2016,4619.0,Ohio,205.3227286,132,775584
2546,NCPRB,OH,2016,21425.0,Ohio,205.3227286,132,775584
2547,NGMPB,OH,2016,1647241.0,Ohio,205.3227286,132,775584
2550,NUETB,OH,2016,175893.0,Ohio,205.3227286,132,775584
2551,PAPRB,OH,2016,123595.0,Ohio,205.3227286,132,775584
2553,REPRB,OH,2016,166682.0,Ohio,205.3227286,132,775584
2554,SOTCB,OH,2016,1874.0,Ohio,205.3227286,132,775584
2555,TEPRB,OH,2016,2422499.0,Ohio,205.3227286,132,775584
2556,TETCB,OH,2016,3667777.0,Ohio,205.3227286,132,775584
2557,WDEXB,OH,2016,0.0,Ohio,205.3227286,132,775584
2558,WDPRB,OH,2016,41902.0,Ohio,205.3227286,132,775584
2559,WDTCB,OH,2016,41902.0,Ohio,205.3227286,132,775584
2560,WSTCB,OH,2016,14986.0,Ohio,205.3227286,132,775584
2561,WWPRB,OH,2016,56888.0,Ohio,205.3227286,132,775584
2562,WYTCB,OH,2016,11497.0,Ohio,205.3227286,132,775584
4054,BDPRP,OH,2017,1678.0,Ohio,205.0608887,118,10274821
4057,CLPRB,OH,2017,233560.0,Ohio,205.0608887,118,10274821
4062,ENPRP,OH,2017,14573.0,Ohio,205.0608887,118,10274821
4063,GETCB,OH,2017,3435.0,Ohio,205.0608887,118,10274821
4064,HYTCB,OH,2017,2555.0,Ohio,205.0608887,118,10274821
4065,NCPRB,OH,2017,23060.0,Ohio,205.0608887,118,10274821
4066,NGMPB,OH,2017,2009410.0,Ohio,205.0608887,118,10274821
4069,NUETB,OH,2017,184997.0,Ohio,205.0608887,118,10274821
4070,PAPRB,OH,2017,114517.0,Ohio,205.0608887,118,10274821
4072,REPRB,OH,2017,167037.0,Ohio,205.0608887,118,10274821
4073,SOTCB,OH,2017,2435.0,Ohio,205.0608887,118,10274821
4074,TEPRB,OH,2017,2709522.0,Ohio,205.0608887,118,10274821
4075,TETCB,OH,2017,3616508.0,Ohio,205.0608887,118,10274821
4076,WDEXB,OH,2017,0.0,Ohio,205.0608887,118,10274821
4077,WDPRB,OH,2017,36933.0,Ohio,205.0608887,118,10274821
4078,WDTCB,OH,2017,36933.0,Ohio,205.0608887,118,10274821
4079,WSTCB,OH,2017,14829.0,Ohio,205.0608887,118,10274821
