,MSN,StateCode,Year,Amount,State,CO2 Emissions (Mmt),TotalNumberofInvestments,TotalAmountofAssistance
1045,BDPRP,OK,2015,642.0,Oklahoma,100.2883311,64,1677872
1048,CLPRB,OK,2015,17422.0,Oklahoma,100.2883311,64,1677872
1053,ENPRP,OK,2015,0.0,Oklahoma,100.2883311,64,1677872
1054,GETCB,OK,2015,24.0,Oklahoma,100.2883311,64,1677872
1055,HYTCB,OK,2015,24825.0,Oklahoma,100.2883311,64,1677872
1056,NCPRB,OK,2015,155674.0,Oklahoma,100.2883311,64,1677872
1057,NGMPB,OK,2015,2880137.0,Oklahoma,100.2883311,64,1677872
1060,NUETB,OK,2015,0.0,Oklahoma,100.2883311,64,1677872
1061,PAPRB,OK,2015,949416.0,Oklahoma,100.2883311,64,1677872
1063,REPRB,OK,2015,187199.0,Oklahoma,100.2883311,64,1677872
1064,SOTCB,OK,2015,71.0,Oklahoma,100.2883311,64,1677872
1065,TEPRB,OK,2015,4034174.0,Oklahoma,100.2883311,64,1677872
1066,TETCB,OK,2015,1625556.0,Oklahoma,100.2883311,64,1677872
1067,WDEXB,OK,2015,0.0,Oklahoma,100.2883311,64,1677872
1068,WDPRB,OK,2015,22227.0,Oklahoma,100.2883311,64,1677872
1069,WDTCB,OK,2015,22227.0,Oklahoma,100.2883311,64,1677872
1070,WSTCB,OK,2015,5812.0,Oklahoma,100.2883311,64,1677872
1071,WWPRB,OK,2015,28038.0,Oklahoma,100.2883311,64,1677872
1072,WYTCB,OK,2015,130754.0,Oklahoma,100.2883311,64,1677872
2564,BDPRP,OK,2016,822.0,Oklahoma,96.1010241,58,1341097
2567,CLPRB,OK,2016,14440.0,Oklahoma,96.1010241,58,1341097
2572,ENPRP,OK,2016,0.0,Oklahoma,96.1010241,58,1341097
2573,GETCB,OK,2016,24.0,Oklahoma,96.1010241,58,1341097
2574,HYTCB,OK,2016,23758.0,Oklahoma,96.1010241,58,1341097
2575,NCPRB,OK,2016,209175.0,Oklahoma,96.1010241,58,1341097
2576,NGMPB,OK,2016,2864577.0,Oklahoma,96.1010241,58,1341097
2579,NUETB,OK,2016,0.0,Oklahoma,96.1010241,58,1341097
2580,PAPRB,OK,2016,885142.0,Oklahoma,96.1010241,58,1341097
2582,REPRB,OK,2016,243569.0,Oklahoma,96.1010241,58,1341097
2583,SOTCB,OK,2016,115.0,Oklahoma,96.1010241,58,1341097
2584,TEPRB,OK,2016,4007728.0,Oklahoma,96.1010241,58,1341097
2585,TETCB,OK,2016,1624919.0,Oklahoma,96.1010241,58,1341097
2586,WDEXB,OK,2016,0.0,Oklahoma,96.1010241,58,1341097
2587,WDPRB,OK,2016,22216.0,Oklahoma,96.1010241,58,1341097
2588,WDTCB,OK,2016,22216.0,Oklahoma,96.1010241,58,1341097
2589,WSTCB,OK,2016,7712.0,Oklahoma,96.1010241,58,1341097
2590,WWPRB,OK,2016,29928.0,Oklahoma,96.1010241,58,1341097
2591,WYTCB,OK,2016,185278.0,Oklahoma,96.1010241,58,1341097
4083,BDPRP,OK,2017,855.0,Oklahoma,93.44516627,41,2449186
4086,CLPRB,OK,2017,12590.0,Oklahoma,93.44516627,41,2449186
4091,ENPRP,OK,2017,0.0,Oklahoma,93.44516627,41,2449186
4092,GETCB,OK,2017,24.0,Oklahoma,93.44516627,41,2449186
4093,HYTCB,OK,2017,18760.0,Oklahoma,93.44516627,41,2449186
4094,NCPRB,OK,2017,236582.0,Oklahoma,93.44516627,41,2449186
4095,NGMPB,OK,2017,2936597.0,Oklahoma,93.44516627,41,2449186
4098,NUETB,OK,2017,0.0,Oklahoma,93.44516627,41,2449186
4099,PAPRB,OK,2017,949291.0,Oklahoma,93.44516627,41,2449186
4101,REPRB,OK,2017,274848.0,Oklahoma,93.44516627,41,2449186
4102,SOTCB,OK,2017,382.0,Oklahoma,93.44516627,41,2449186
4103,TEPRB,OK,2017,4173327.0,Oklahoma,93.44516627,41,2449186
4104,TETCB,OK,2017,1647508.0,Oklahoma,93.44516627,41,2449186
4105,WDEXB,OK,2017,0.0,Oklahoma,93.44516627,41,2449186
