,MSN,StateCode,Year,Amount,State,CO2 Emissions (Mmt),TotalNumberofInvestments,TotalAmountofAssistance
1074,BDPRP,OR,2015,218.0,Oregon,37.89416845,169,6478283
1077,CLPRB,OR,2015,0.0,Oregon,37.89416845,169,6478283
1082,ENPRP,OR,2015,947.0,Oregon,37.89416845,169,6478283
1083,GETCB,OR,2015,2898.0,Oregon,37.89416845,169,6478283
1084,HYTCB,OR,2015,291255.0,Oregon,37.89416845,169,6478283
1085,NCPRB,OR,2015,358382.0,Oregon,37.89416845,169,6478283
1086,NGMPB,OR,2015,889.0,Oregon,37.89416845,169,6478283
1089,NUETB,OR,2015,0.0,Oregon,37.89416845,169,6478283
1090,PAPRB,OR,2015,0.0,Oregon,37.89416845,169,6478283
1092,REPRB,OR,2015,438941.0,Oregon,37.89416845,169,6478283
1093,SOTCB,OR,2015,2430.0,Oregon,37.89416845,169,6478283
1094,TEPRB,OR,2015,439830.0,Oregon,37.89416845,169,6478283
1095,TETCB,OR,2015,971766.0,Oregon,37.89416845,169,6478283
1096,WDEXB,OR,2015,0.0,Oregon,37.89416845,169,6478283
1097,WDPRB,OR,2015,67931.0,Oregon,37.89416845,169,6478283
1098,WDTCB,OR,2015,67931.0,Oregon,37.89416845,169,6478283
1099,WSTCB,OR,2015,6041.0,Oregon,37.89416845,169,6478283
1100,WWPRB,OR,2015,73972.0,Oregon,37.89416845,169,6478283
1101,WYTCB,OR,2015,61799.0,Oregon,37.89416845,169,6478283
2593,BDPRP,OR,2016,257.0,Oregon,37.66506368,162,104123811
2596,CLPRB,OR,2016,0.0,Oregon,37.66506368,162,104123811
2601,ENPRP,OR,2016,904.0,Oregon,37.66506368,162,104123811
2602,GETCB,OR,2016,2928.0,Oregon,37.66506368,162,104123811
2603,HYTCB,OR,2016,318960.0,Oregon,37.66506368,162,104123811
2604,NCPRB,OR,2016,391102.0,Oregon,37.66506368,162,104123811
2605,NGMPB,OR,2016,848.0,Oregon,37.66506368,162,104123811
2608,NUETB,OR,2016,0.0,Oregon,37.66506368,162,104123811
2609,PAPRB,OR,2016,0.0,Oregon,37.66506368,162,104123811
2611,REPRB,OR,2016,468111.0,Oregon,37.66506368,162,104123811
2612,SOTCB,OR,2016,3140.0,Oregon,37.66506368,162,104123811
2613,TEPRB,OR,2016,468959.0,Oregon,37.66506368,162,104123811
2614,TETCB,OR,2016,988158.0,Oregon,37.66506368,162,104123811
2615,WDEXB,OR,2016,0.0,Oregon,37.66506368,162,104123811
2616,WDPRB,OR,2016,64827.0,Oregon,37.66506368,162,104123811
2617,WDTCB,OR,2016,64827.0,Oregon,37.66506368,162,104123811
2618,WSTCB,OR,2016,5634.0,Oregon,37.66506368,162,104123811
2619,WWPRB,OR,2016,70461.0,Oregon,37.66506368,162,104123811
2620,WYTCB,OR,2016,66075.0,Oregon,37.66506368,162,104123811
4112,BDPRP,OR,2017,273.0,Oregon,38.79038331,129,137275588
4115,CLPRB,OR,2017,0.0,Oregon,38.79038331,129,137275588
4120,ENPRP,OR,2017,970.0,Oregon,38.79038331,129,137275588
4121,GETCB,OR,2017,2839.0,Oregon,38.79038331,129,137275588
4122,HYTCB,OR,2017,352802.0,Oregon,38.79038331,129,137275588
4123,NCPRB,OR,2017,417834.0,Oregon,38.79038331,129,137275588
4124,NGMPB,OR,2017,700.0,Oregon,38.79038331,129,137275588
4127,NUETB,OR,2017,0.0,Oregon,38.79038331,129,137275588
4128,PAPRB,OR,2017,0.0,Oregon,38.79038331,129,137275588
4130,REPRB,OR,2017,501442.0,Oregon,38.79038331,129,137275588
4131,SOTCB,OR,2017,4827.0,Oregon,38.79038331,129,137275588
4132,TEPRB,OR,2017,502142.0,Oregon,38.79038331,129,137275588
4133,TETCB,OR,2017,1041344.0,Oregon,38.79038331,129,137275588
4134,WDEXB,OR,2017,0.0,Oregon,38.79038331,129,137275588
4135,WDPRB,OR,2017,70785.0,Oregon,38.79038331,129,137275588
4136,WDTCB,OR,2017,70785.0,Oregon,38.79038331,129,137275588
4137,WSTCB,OR,2017,5813.0,Oregon,38.79038331,129,137275588
4138,WWPRB,OR,2017,76598.0,Oregon,38.79038331,129,137275588
4139,WYTCB,OR,2017,57366.0,Oregon,38.79038331,129,137275588
5631,BDPRP,OR,2018,290.0,Oregon,39.58013113,96,3286698
5634,CLPRB,OR,2018,0.0,Oregon,39.58013113,96,3286698
5639,ENPRP,OR,2018,994.0,Oregon,39.58013113,96,3286698
5640,GETCB,OR,2018,2837.0,Oregon,39.58013113,96,3286698
5641,HYTCB,OR,2018,322671.0,Oregon,39.58013113,96,3286698
5642,NCPRB,OR,2018,401773.0,Oregon,39.58013113,96,3286698
5643,NGMPB,OR,2018,529.0,Oregon,39.58013113,96,3286698
5646,NUETB,OR,2018,0.0,Oregon,39.58013113,96,3286698
5647,PAPRB,OR,2018,0.0,Oregon,39.58013113,96,3286698
5649,REPRB,OR,2018,486994.0,Oregon,39.58013113,96,3286698
5650,SOTCB,OR,2018,8464.0,Oregon,39.58013113,96,3286698
5651,TEPRB,OR,2018,487523.0,Oregon,39.58013113,96,3286698
5652,TETCB,OR,2018,1021526.0,Oregon,39.58013113,96,3286698
5653,WDEXB,OR,2018,0.0,Oregon,39.58013113,96,3286698
5654,WDPRB,OR,2018,72116.0,Oregon,39.58013113,96,3286698
5655,WDTCB,OR,2018,72116.0,Oregon,39.58013113,96,3286698
5656,WSTCB,OR,2018,5854.0,Oregon,39.58013113,96,3286698
5657,WWPRB,OR,2018,77970.0,Oregon,39.58013113,96,3286698
5658,WYTCB,OR,2018,67802.0,Oregon,39.58013113,96,3286698
7150,BDPRP,OR,2019,275.0,Oregon,41.83917874,75,13382214
7153,CLPRB,OR,2019,0.0,Oregon,41.83917874,75,13382214
7158,ENPRP,OR,2019,892.0,Oregon,41.83917874,75,13382214
7159,GETCB,OR,2019,2884.0,Oregon,41.83917874,75,13382214
7160,HYTCB,OR,2019,270017.0,Oregon,41.83917874,75,13382214
7161,NCPRB,OR,2019,340834.0,Oregon,41.83917874,75,13382214
7162,NGMPB,OR,2019,420.0,Oregon,41.83917874,75,13382214
7165,NUETB,OR,2019,0.0,Oregon,41.83917874,75,13382214
7166,PAPRB,OR,2019,0.0,Oregon,41.83917874,75,13382214
7168,REPRB,OR,2019,426391.0,Oregon,41.83917874,75,13382214
7169,SOTCB,OR,2019,9437.0,Oregon,41.83917874,75,13382214
7170,TEPRB,OR,2019,426811.0,Oregon,41.83917874,75,13382214
7171,TETCB,OR,2019,1027578.0,Oregon,41.83917874,75,13382214
7172,WDEXB,OR,2019,0.0,Oregon,41.83917874,75,13382214
7173,WDPRB,OR,2019,73558.0,Oregon,41.83917874,75,13382214
7174,WDTCB,OR,2019,73558.0,Oregon,41.83917874,75,13382214
7175,WSTCB,OR,2019,5420.0,Oregon,41.83917874,75,13382214
7176,WWPRB,OR,2019,78977.0,Oregon,41.83917874,75,13382214
7177,WYTCB,OR,2019,58496.0,Oregon,41.83917874,75,13382214
