,MSN,StateCode,Year,Amount,State,CO2 Emissions (Mmt),TotalNumberofInvestments,TotalAmountofAssistance
1103,BDPRP,PA,2015,592.0,Pennsylvania,232.9252268,102,4218295
1106,CLPRB,PA,2015,1278078.0,Pennsylvania,232.9252268,102,4218295
1111,ENPRP,PA,2015,2283.0,Pennsylvania,232.9252268,102,4218295
1112,GETCB,PA,2015,2162.0,Pennsylvania,232.9252268,102,4218295
1113,HYTCB,PA,2015,24264.0,Pennsylvania,232.9252268,102,4218295
1114,NCPRB,PA,2015,61427.0,Pennsylvania,232.9252268,102,4218295
1115,NGMPB,PA,2015,5119772.0,Pennsylvania,232.9252268,102,4218295
1118,NUETB,PA,2015,842044.0,Pennsylvania,232.9252268,102,4218295
1119,PAPRB,PA,2015,40522.0,Pennsylvania,232.9252268,102,4218295
1121,REPRB,PA,2015,200534.0,Pennsylvania,232.9252268,102,4218295
1122,SOTCB,PA,2015,3758.0,Pennsylvania,232.9252268,102,4218295
1123,TEPRB,PA,2015,7480950.0,Pennsylvania,232.9252268,102,4218295
1124,TETCB,PA,2015,3897610.0,Pennsylvania,232.9252268,102,4218295
1125,WDEXB,PA,2015,0.0,Pennsylvania,232.9252268,102,4218295
1126,WDPRB,PA,2015,81888.0,Pennsylvania,232.9252268,102,4218295
1127,WDTCB,PA,2015,81888.0,Pennsylvania,232.9252268,102,4218295
1128,WSTCB,PA,2015,40968.0,Pennsylvania,232.9252268,102,4218295
1129,WWPRB,PA,2015,122856.0,Pennsylvania,232.9252268,102,4218295
1130,WYTCB,PA,2015,31244.0,Pennsylvania,232.9252268,102,4218295
2622,BDPRP,PA,2016,876.0,Pennsylvania,217.9773815,74,2394977
2625,CLPRB,PA,2016,1168609.0,Pennsylvania,217.9773815,74,2394977
2630,ENPRP,PA,2016,2474.0,Pennsylvania,217.9773815,74,2394977
2631,GETCB,PA,2016,2162.0,Pennsylvania,217.9773815,74,2394977
2632,HYTCB,PA,2016,21922.0,Pennsylvania,217.9773815,74,2394977
2633,NCPRB,PA,2016,60247.0,Pennsylvania,217.9773815,74,2394977
2634,NGMPB,PA,2016,5525743.0,Pennsylvania,217.9773815,74,2394977
2637,NUETB,PA,2016,867302.0,Pennsylvania,217.9773815,74,2394977
2638,PAPRB,PA,2016,35888.0,Pennsylvania,217.9773815,74,2394977
2640,REPRB,PA,2016,196773.0,Pennsylvania,217.9773815,74,2394977
2641,SOTCB,PA,2016,4071.0,Pennsylvania,217.9773815,74,2394977
2642,TEPRB,PA,2016,7794315.0,Pennsylvania,217.9773815,74,2394977
2643,TETCB,PA,2016,3762485.0,Pennsylvania,217.9773815,74,2394977
2644,WDEXB,PA,2016,0.0,Pennsylvania,217.9773815,74,2394977
2645,WDPRB,PA,2016,76880.0,Pennsylvania,217.9773815,74,2394977
2646,WDTCB,PA,2016,76880.0,Pennsylvania,217.9773815,74,2394977
2647,WSTCB,PA,2016,40781.0,Pennsylvania,217.9773815,74,2394977
2648,WWPRB,PA,2016,117661.0,Pennsylvania,217.9773815,74,2394977
2649,WYTCB,PA,2016,32093.0,Pennsylvania,217.9773815,74,2394977
4141,BDPRP,PA,2017,1015.0,Pennsylvania,215.2868489,53,2661655
4144,CLPRB,PA,2017,1260516.0,Pennsylvania,215.2868489,53,2661655
4149,ENPRP,PA,2017,2320.0,Pennsylvania,215.2868489,53,2661655
4150,GETCB,PA,2017,2162.0,Pennsylvania,215.2868489,53,2661655
4151,HYTCB,PA,2017,28775.0,Pennsylvania,215.2868489,53,2661655
4152,NCPRB,PA,2017,68701.0,Pennsylvania,215.2868489,53,2661655
4153,NGMPB,PA,2017,5769945.0,Pennsylvania,215.2868489,53,2661655
4156,NUETB,PA,2017,870187.0,Pennsylvania,215.2868489,53,2661655
4157,PAPRB,PA,2017,37554.0,Pennsylvania,215.2868489,53,2661655
4159,REPRB,PA,2017,204952.0,Pennsylvania,215.2868489,53,2661655
4160,SOTCB,PA,2017,4684.0,Pennsylvania,215.2868489,53,2661655
4161,TEPRB,PA,2017,8143154.0,Pennsylvania,215.2868489,53,2661655
4162,TETCB,PA,2017,3766880.0,Pennsylvania,215.2868489,53,2661655
4163,WDEXB,PA,2017,0.0,Pennsylvania,215.2868489,53,2661655
4164,WDPRB,PA,2017,76403.0,Pennsylvania,215.2868489,53,2661655
4165,WDTCB,PA,2017,76403.0,Pennsylvania,215.2868489,53,2661655
4166,WSTCB,PA,2017,41107.0,Pennsylvania,215.2868489,53,2661655
4167,WWPRB,PA,2017,117510.0,Pennsylvania,215.2868489,53,2661655
4168,WYTCB,PA,2017,33080.0,Pennsylvania,215.2868489,53,2661655
5660,BDPRP,PA,2018,1521.0,Pennsylvania,220.1938915,57,10494432
5663,CLPRB,PA,2018,1278056.0,Pennsylvania,220.1938915,57,10494432
5668,ENPRP,PA,2018,2212.0,Pennsylvania,220.1938915,57,10494432
5669,GETCB,PA,2018,2162.0,Pennsylvania,220.1938915,57,10494432
5670,HYTCB,PA,2018,38799.0,Pennsylvania,220.1938915,57,10494432
