,MSN,StateCode,Year,Amount,State,CO2 Emissions (Mmt),TotalNumberofInvestments,TotalAmountofAssistance
1132,BDPRP,RI,2015,17.0,Rhode Island,10.80452453,11,671306
1135,CLPRB,RI,2015,0.0,Rhode Island,10.80452453,11,671306
1140,ENPRP,RI,2015,0.0,Rhode Island,10.80452453,11,671306
1141,GETCB,RI,2015,57.0,Rhode Island,10.80452453,11,671306
1142,HYTCB,RI,2015,29.0,Rhode Island,10.80452453,11,671306
1143,NCPRB,RI,2015,477.0,Rhode Island,10.80452453,11,671306
1144,NGMPB,RI,2015,0.0,Rhode Island,10.80452453,11,671306
1147,NUETB,RI,2015,0.0,Rhode Island,10.80452453,11,671306
1148,PAPRB,RI,2015,0.0,Rhode Island,10.80452453,11,671306
1150,REPRB,RI,2015,4886.0,Rhode Island,10.80452453,11,671306
1151,SOTCB,RI,2015,298.0,Rhode Island,10.80452453,11,671306
1152,TEPRB,RI,2015,4886.0,Rhode Island,10.80452453,11,671306
1153,TETCB,RI,2015,202693.0,Rhode Island,10.80452453,11,671306
1154,WDEXB,RI,2015,0.0,Rhode Island,10.80452453,11,671306
1155,WDPRB,RI,2015,2146.0,Rhode Island,10.80452453,11,671306
1156,WDTCB,RI,2015,2146.0,Rhode Island,10.80452453,11,671306
1157,WSTCB,RI,2015,2170.0,Rhode Island,10.80452453,11,671306
1158,WWPRB,RI,2015,4315.0,Rhode Island,10.80452453,11,671306
1159,WYTCB,RI,2015,94.0,Rhode Island,10.80452453,11,671306
2651,BDPRP,RI,2016,24.0,Rhode Island,9.588941638,10,489512
2654,CLPRB,RI,2016,0.0,Rhode Island,9.588941638,10,489512
2659,ENPRP,RI,2016,0.0,Rhode Island,9.588941638,10,489512
2660,GETCB,RI,2016,57.0,Rhode Island,9.588941638,10,489512
2661,HYTCB,RI,2016,20.0,Rhode Island,9.588941638,10,489512
2662,NCPRB,RI,2016,771.0,Rhode Island,9.588941638,10,489512
2663,NGMPB,RI,2016,0.0,Rhode Island,9.588941638,10,489512
2666,NUETB,RI,2016,0.0,Rhode Island,9.588941638,10,489512
2667,PAPRB,RI,2016,0.0,Rhode Island,9.588941638,10,489512
2669,REPRB,RI,2016,4700.0,Rhode Island,9.588941638,10,489512
