,MSN,StateCode,Year,Amount,State,CO2 Emissions (Mmt),TotalNumberofInvestments,TotalAmountofAssistance
1190,BDPRP,SD,2015,0.0,South Dakota,14.13943764,63,3577721
1193,CLPRB,SD,2015,0.0,South Dakota,14.13943764,63,3577721
1198,ENPRP,SD,2015,26658.0,South Dakota,14.13943764,63,3577721
1199,GETCB,SD,2015,1868.0,South Dakota,14.13943764,63,3577721
1200,HYTCB,SD,2015,45202.0,South Dakota,14.13943764,63,3577721
1201,NCPRB,SD,2015,70354.0,South Dakota,14.13943764,63,3577721
1202,NGMPB,SD,2015,614.0,South Dakota,14.13943764,63,3577721
1205,NUETB,SD,2015,0.0,South Dakota,14.13943764,63,3577721
1206,PAPRB,SD,2015,9507.0,South Dakota,14.13943764,63,3577721
1208,REPRB,SD,2015,225499.0,South Dakota,14.13943764,63,3577721
1209,SOTCB,SD,2015,10.0,South Dakota,14.13943764,63,3577721
1210,TEPRB,SD,2015,235620.0,South Dakota,14.13943764,63,3577721
1211,TETCB,SD,2015,389999.0,South Dakota,14.13943764,63,3577721
1212,WDEXB,SD,2015,0.0,South Dakota,14.13943764,63,3577721
1213,WDPRB,SD,2015,2545.0,South Dakota,14.13943764,63,3577721
1214,WDTCB,SD,2015,2545.0,South Dakota,14.13943764,63,3577721
1215,WSTCB,SD,2015,424.0,South Dakota,14.13943764,63,3577721
1216,WWPRB,SD,2015,2968.0,South Dakota,14.13943764,63,3577721
1217,WYTCB,SD,2015,23274.0,South Dakota,14.13943764,63,3577721
2709,BDPRP,SD,2016,0.0,South Dakota,14.80376576,32,76031784
2712,CLPRB,SD,2016,0.0,South Dakota,14.80376576,32,76031784
2717,ENPRP,SD,2016,27026.0,South Dakota,14.80376576,32,76031784
2718,GETCB,SD,2016,1868.0,South Dakota,14.80376576,32,76031784
2719,HYTCB,SD,2016,44365.0,South Dakota,14.80376576,32,76031784
2720,NCPRB,SD,2016,80538.0,South Dakota,14.80376576,32,76031784
2721,NGMPB,SD,2016,511.0,South Dakota,14.80376576,32,76031784
2724,NUETB,SD,2016,0.0,South Dakota,14.80376576,32,76031784
2725,PAPRB,SD,2016,8045.0,South Dakota,14.80376576,32,76031784
2727,REPRB,SD,2016,237289.0,South Dakota,14.80376576,32,76031784
2728,SOTCB,SD,2016,15.0,South Dakota,14.80376576,32,76031784
2729,TEPRB,SD,2016,245846.0,South Dakota,14.80376576,32,76031784
2730,TETCB,SD,2016,388097.0,South Dakota,14.80376576,32,76031784
2731,WDEXB,SD,2016,0.0,South Dakota,14.80376576,32,76031784
2732,WDPRB,SD,2016,2146.0,South Dakota,14.80376576,32,76031784
2733,WDTCB,SD,2016,2146.0,South Dakota,14.80376576,32,76031784
2734,WSTCB,SD,2016,519.0,South Dakota,14.80376576,32,76031784
2735,WWPRB,SD,2016,2665.0,South Dakota,14.80376576,32,76031784
2736,WYTCB,SD,2016,34290.0,South Dakota,14.80376576,32,76031784
4228,BDPRP,SD,2017,0.0,South Dakota,14.65586638,18,3225820
4231,CLPRB,SD,2017,0.0,South Dakota,14.65586638,18,3225820
4236,ENPRP,SD,2017,28199.0,South Dakota,14.65586638,18,3225820
4237,GETCB,SD,2017,1868.0,South Dakota,14.65586638,18,3225820
4238,HYTCB,SD,2017,48419.0,South Dakota,14.65586638,18,3225820
4239,NCPRB,SD,2017,77574.0,South Dakota,14.65586638,18,3225820
4240,NGMPB,SD,2017,531.0,South Dakota,14.65586638,18,3225820
4243,NUETB,SD,2017,0.0,South Dakota,14.65586638,18,3225820
4244,PAPRB,SD,2017,7463.0,South Dakota,14.65586638,18,3225820
4246,REPRB,SD,2017,241029.0,South Dakota,14.65586638,18,3225820
4247,SOTCB,SD,2017,32.0,South Dakota,14.65586638,18,3225820
4248,TEPRB,SD,2017,249023.0,South Dakota,14.65586638,18,3225820
4249,TETCB,SD,2017,394141.0,South Dakota,14.65586638,18,3225820
4250,WDEXB,SD,2017,0.0,South Dakota,14.65586638,18,3225820
4251,WDPRB,SD,2017,2116.0,South Dakota,14.65586638,18,3225820
4252,WDTCB,SD,2017,2116.0,South Dakota,14.65586638,18,3225820
4253,WSTCB,SD,2017,544.0,South Dakota,14.65586638,18,3225820
