,MSN,StateCode,Year,Amount,State,CO2 Emissions (Mmt),TotalNumberofInvestments,TotalAmountofAssistance
1219,BDPRP,TN,2015,34.0,Tennessee,98.70392565,104,3275928
1222,CLPRB,TN,2015,23192.0,Tennessee,98.70392565,104,3275928
1227,ENPRP,TN,2015,4145.0,Tennessee,98.70392565,104,3275928
1228,GETCB,TN,2015,213.0,Tennessee,98.70392565,104,3275928
1229,HYTCB,TN,2015,89288.0,Tennessee,98.70392565,104,3275928
1230,NCPRB,TN,2015,91221.0,Tennessee,98.70392565,104,3275928
1231,NGMPB,TN,2015,4959.0,Tennessee,98.70392565,104,3275928
1234,NUETB,TN,2015,261037.0,Tennessee,98.70392565,104,3275928
1235,PAPRB,TN,2015,1692.0,Tennessee,98.70392565,104,3275928
1237,REPRB,TN,2015,182019.0,Tennessee,98.70392565,104,3275928
1238,SOTCB,TN,2015,1294.0,Tennessee,98.70392565,104,3275928
1239,TEPRB,TN,2015,472899.0,Tennessee,98.70392565,104,3275928
1240,TETCB,TN,2015,2179722.0,Tennessee,98.70392565,104,3275928
1241,WDEXB,TN,2015,0.0,Tennessee,98.70392565,104,3275928
1242,WDPRB,TN,2015,61479.0,Tennessee,98.70392565,104,3275928
1243,WDTCB,TN,2015,61479.0,Tennessee,98.70392565,104,3275928
1244,WSTCB,TN,2015,5474.0,Tennessee,98.70392565,104,3275928
1245,WWPRB,TN,2015,66953.0,Tennessee,98.70392565,104,3275928
1246,WYTCB,TN,2015,427.0,Tennessee,98.70392565,104,3275928
2738,BDPRP,TN,2016,46.0,Tennessee,101.3548028,60,1102457
2741,CLPRB,TN,2016,16596.0,Tennessee,101.3548028,60,1102457
2746,ENPRP,TN,2016,4429.0,Tennessee,101.3548028,60,1102457
2747,GETCB,TN,2016,213.0,Tennessee,101.3548028,60,1102457
2748,HYTCB,TN,2016,62538.0,Tennessee,101.3548028,60,1102457
2749,NCPRB,TN,2016,64645.0,Tennessee,101.3548028,60,1102457
2750,NGMPB,TN,2016,4180.0,Tennessee,101.3548028,60,1102457
2753,NUETB,TN,2016,309357.0,Tennessee,101.3548028,60,1102457
2754,PAPRB,TN,2016,1471.0,Tennessee,101.3548028,60,1102457
2756,REPRB,TN,2016,154183.0,Tennessee,101.3548028,60,1102457
2757,SOTCB,TN,2016,1546.0,Tennessee,101.3548028,60,1102457
2758,TEPRB,TN,2016,485787.0,Tennessee,101.3548028,60,1102457
2759,TETCB,TN,2016,2207227.0,Tennessee,101.3548028,60,1102457
2760,WDEXB,TN,2016,0.0,Tennessee,101.3548028,60,1102457
2761,WDPRB,TN,2016,58624.0,Tennessee,101.3548028,60,1102457
2762,WDTCB,TN,2016,58624.0,Tennessee,101.3548028,60,1102457
2763,WSTCB,TN,2016,5411.0,Tennessee,101.3548028,60,1102457
2764,WWPRB,TN,2016,64036.0,Tennessee,101.3548028,60,1102457
2765,WYTCB,TN,2016,348.0,Tennessee,101.3548028,60,1102457
4257,BDPRP,TN,2017,45.0,Tennessee,97.40767095,28,889496
4260,CLPRB,TN,2017,11168.0,Tennessee,97.40767095,28,889496
4265,ENPRP,TN,2017,4455.0,Tennessee,97.40767095,28,889496
4266,GETCB,TN,2017,213.0,Tennessee,97.40767095,28,889496
4267,HYTCB,TN,2017,80071.0,Tennessee,97.40767095,28,889496
4268,NCPRB,TN,2017,82362.0,Tennessee,97.40767095,28,889496
4269,NGMPB,TN,2017,3515.0,Tennessee,97.40767095,28,889496
4272,NUETB,TN,2017,332779.0,Tennessee,97.40767095,28,889496
4273,PAPRB,TN,2017,1551.0,Tennessee,97.40767095,28,889496
4275,REPRB,TN,2017,166421.0,Tennessee,97.40767095,28,889496
4276,SOTCB,TN,2017,1679.0,Tennessee,97.40767095,28,889496
4277,TEPRB,TN,2017,515435.0,Tennessee,97.40767095,28,889496
4278,TETCB,TN,2017,2145679.0,Tennessee,97.40767095,28,889496
4279,WDEXB,TN,2017,0.0,Tennessee,97.40767095,28,889496
4280,WDPRB,TN,2017,52821.0,Tennessee,97.40767095,28,889496
4281,WDTCB,TN,2017,52821.0,Tennessee,97.40767095,28,889496
4282,WSTCB,TN,2017,5589.0,Tennessee,97.40767095,28,889496
