,MSN,StateCode,Year,Amount,State,CO2 Emissions (Mmt),TotalNumberofInvestments,TotalAmountofAssistance
1306,BDPRP,UT,2015,2.0,Utah,63.61302159,80,1243588
1309,CLPRB,UT,2015,325216.0,Utah,63.61302159,80,1243588
1314,ENPRP,UT,2015,0.0,Utah,63.61302159,80,1243588
1315,GETCB,UT,2015,4811.0,Utah,63.61302159,80,1243588
1316,HYTCB,UT,2015,7164.0,Utah,63.61302159,80,1243588
1317,NCPRB,UT,2015,18788.0,Utah,63.61302159,80,1243588
1318,NGMPB,UT,2015,461219.0,Utah,63.61302159,80,1243588
1321,NUETB,UT,2015,0.0,Utah,63.61302159,80,1243588
1322,PAPRB,UT,2015,212307.0,Utah,63.61302159,80,1243588
1324,REPRB,UT,2015,23993.0,Utah,63.61302159,80,1243588
1325,SOTCB,UT,2015,980.0,Utah,63.61302159,80,1243588
1326,TEPRB,UT,2015,1022734.0,Utah,63.61302159,80,1243588
1327,TETCB,UT,2015,798313.0,Utah,63.61302159,80,1243588
1328,WDEXB,UT,2015,0.0,Utah,63.61302159,80,1243588
1329,WDPRB,UT,2015,3765.0,Utah,63.61302159,80,1243588
1330,WDTCB,UT,2015,3765.0,Utah,63.61302159,80,1243588
1331,WSTCB,UT,2015,1430.0,Utah,63.61302159,80,1243588
1332,WWPRB,UT,2015,5195.0,Utah,63.61302159,80,1243588
1333,WYTCB,UT,2015,5833.0,Utah,63.61302159,80,1243588
2825,BDPRP,UT,2016,0.0,Utah,58.82516698,114,612804
2828,CLPRB,UT,2016,310453.0,Utah,58.82516698,114,612804
2833,ENPRP,UT,2016,0.0,Utah,58.82516698,114,612804
2834,GETCB,UT,2016,5287.0,Utah,58.82516698,114,612804
2835,HYTCB,UT,2016,7012.0,Utah,58.82516698,114,612804
2836,NCPRB,UT,2016,31057.0,Utah,58.82516698,114,612804
2837,NGMPB,UT,2016,401909.0,Utah,58.82516698,114,612804
2840,NUETB,UT,2016,0.0,Utah,58.82516698,114,612804
2841,PAPRB,UT,2016,174681.0,Utah,58.82516698,114,612804
2843,REPRB,UT,2016,36562.0,Utah,58.82516698,114,612804
2844,SOTCB,UT,2016,11167.0,Utah,58.82516698,114,612804
2845,TEPRB,UT,2016,923606.0,Utah,58.82516698,114,612804
2846,TETCB,UT,2016,807711.0,Utah,58.82516698,114,612804
2847,WDEXB,UT,2016,0.0,Utah,58.82516698,114,612804
2848,WDPRB,UT,2016,3981.0,Utah,58.82516698,114,612804
2849,WDTCB,UT,2016,3981.0,Utah,58.82516698,114,612804
2850,WSTCB,UT,2016,1523.0,Utah,58.82516698,114,612804
2851,WWPRB,UT,2016,5504.0,Utah,58.82516698,114,612804
2852,WYTCB,UT,2016,7591.0,Utah,58.82516698,114,612804
4344,BDPRP,UT,2017,0.0,Utah,59.03113555,56,15437033
4347,CLPRB,UT,2017,317768.0,Utah,59.03113555,56,15437033
4352,ENPRP,UT,2017,0.0,Utah,59.03113555,56,15437033
4353,GETCB,UT,2017,5239.0,Utah,59.03113555,56,15437033
4354,HYTCB,UT,2017,11919.0,Utah,59.03113555,56,15437033
4355,NCPRB,UT,2017,48162.0,Utah,59.03113555,56,15437033
4356,NGMPB,UT,2017,346868.0,Utah,59.03113555,56,15437033
4359,NUETB,UT,2017,0.0,Utah,59.03113555,56,15437033
4360,PAPRB,UT,2017,197089.0,Utah,59.03113555,56,15437033
4362,REPRB,UT,2017,53282.0,Utah,59.03113555,56,15437033
4363,SOTCB,UT,2017,23097.0,Utah,59.03113555,56,15437033
4364,TEPRB,UT,2017,915007.0,Utah,59.03113555,56,15437033
4365,TETCB,UT,2017,827453.0,Utah,59.03113555,56,15437033
4366,WDEXB,UT,2017,0.0,Utah,59.03113555,56,15437033
4367,WDPRB,UT,2017,3910.0,Utah,59.03113555,56,15437033
4368,WDTCB,UT,2017,3910.0,Utah,59.03113555,56,15437033
4369,WSTCB,UT,2017,1211.0,Utah,59.03113555,56,15437033
4370,WWPRB,UT,2017,5120.0,Utah,59.03113555,56,15437033
4371,WYTCB,UT,2017,7907.0,Utah,59.03113555,56,15437033
5863,BDPRP,UT,2018,0.0,Utah,61.24871623,41,668749
5866,CLPRB,UT,2018,305328.0,Utah,61.24871623,41,668749
5871,ENPRP,UT,2018,0.0,Utah,61.24871623,41,668749
5872,GETCB,UT,2018,4866.0,Utah,61.24871623,41,668749
5873,HYTCB,UT,2018,8440.0,Utah,61.24871623,41,668749
5874,NCPRB,UT,2018,44435.0,Utah,61.24871623,41,668749
5875,NGMPB,UT,2018,326320.0,Utah,61.24871623,41,668749
5878,NUETB,UT,2018,0.0,Utah,61.24871623,41,668749
5879,PAPRB,UT,2018,211790.0,Utah,61.24871623,41,668749
5881,REPRB,UT,2018,50358.0,Utah,61.24871623,41,668749
5882,SOTCB,UT,2018,23895.0,Utah,61.24871623,41,668749
5883,TEPRB,UT,2018,893795.0,Utah,61.24871623,41,668749
5884,TETCB,UT,2018,844319.0,Utah,61.24871623,41,668749
5885,WDEXB,UT,2018,0.0,Utah,61.24871623,41,668749
5886,WDPRB,UT,2018,4963.0,Utah,61.24871623,41,668749
5887,WDTCB,UT,2018,4963.0,Utah,61.24871623,41,668749
5888,WSTCB,UT,2018,959.0,Utah,61.24871623,41,668749
5889,WWPRB,UT,2018,5922.0,Utah,61.24871623,41,668749
5890,WYTCB,UT,2018,7234.0,Utah,61.24871623,41,668749
7382,BDPRP,UT,2019,0.0,Utah,61.50322731,71,448561
7385,CLPRB,UT,2019,326024.0,Utah,61.50322731,71,448561
7390,ENPRP,UT,2019,0.0,Utah,61.50322731,71,448561
7391,GETCB,UT,2019,3572.0,Utah,61.50322731,71,448561
7392,HYTCB,UT,2019,7793.0,Utah,61.50322731,71,448561
7393,NCPRB,UT,2019,42278.0,Utah,61.50322731,71,448561
7394,NGMPB,UT,2019,299544.0,Utah,61.50322731,71,448561
7397,NUETB,UT,2019,0.0,Utah,61.50322731,71,448561
7398,PAPRB,UT,2019,210450.0,Utah,61.50322731,71,448561
7400,REPRB,UT,2019,48225.0,Utah,61.50322731,71,448561
7401,SOTCB,UT,2019,23623.0,Utah,61.50322731,71,448561
7402,TEPRB,UT,2019,884243.0,Utah,61.50322731,71,448561
7403,TETCB,UT,2019,855124.0,Utah,61.50322731,71,448561
7404,WDEXB,UT,2019,0.0,Utah,61.50322731,71,448561
7405,WDPRB,UT,2019,5028.0,Utah,61.50322731,71,448561
7406,WDTCB,UT,2019,5028.0,Utah,61.50322731,71,448561
7407,WSTCB,UT,2019,919.0,Utah,61.50322731,71,448561
7408,WWPRB,UT,2019,5947.0,Utah,61.50322731,71,448561
