,MSN,StateCode,Year,Amount,State,CO2 Emissions (Mmt),TotalNumberofInvestments,TotalAmountofAssistance
1335,BDPRP,VA,2015,48.0,Virginia,107.6199041,31,2446464
1338,CLPRB,VA,2015,365832.0,Virginia,107.6199041,31,2446464
1343,ENPRP,VA,2015,1012.0,Virginia,107.6199041,31,2446464
1344,GETCB,VA,2015,1701.0,Virginia,107.6199041,31,2446464
1345,HYTCB,VA,2015,10795.0,Virginia,107.6199041,31,2446464
1346,NCPRB,VA,2015,13300.0,Virginia,107.6199041,31,2446464
1347,NGMPB,VA,2015,134220.0,Virginia,107.6199041,31,2446464
1350,NUETB,VA,2015,293455.0,Virginia,107.6199041,31,2446464
1351,PAPRB,VA,2015,63.0,Virginia,107.6199041,31,2446464
1353,REPRB,VA,2015,137589.0,Virginia,107.6199041,31,2446464
1354,SOTCB,VA,2015,803.0,Virginia,107.6199041,31,2446464
1355,TEPRB,VA,2015,931160.0,Virginia,107.6199041,31,2446464
1356,TETCB,VA,2015,2440821.0,Virginia,107.6199041,31,2446464
1357,WDEXB,VA,2015,0.0,Virginia,107.6199041,31,2446464
1358,WDPRB,VA,2015,97882.0,Virginia,107.6199041,31,2446464
1359,WDTCB,VA,2015,97882.0,Virginia,107.6199041,31,2446464
1360,WSTCB,VA,2015,20371.0,Virginia,107.6199041,31,2446464
1361,WWPRB,VA,2015,118254.0,Virginia,107.6199041,31,2446464
1362,WYTCB,VA,2015,0.0,Virginia,107.6199041,31,2446464
2854,BDPRP,VA,2016,79.0,Virginia,110.0640459,49,853133
2857,CLPRB,VA,2016,335590.0,Virginia,110.0640459,49,853133
2862,ENPRP,VA,2016,562.0,Virginia,110.0640459,49,853133
2863,GETCB,VA,2016,1701.0,Virginia,110.0640459,49,853133
2864,HYTCB,VA,2016,13585.0,Virginia,110.0640459,49,853133
2865,NCPRB,VA,2016,16391.0,Virginia,110.0640459,49,853133
2866,NGMPB,VA,2016,126663.0,Virginia,110.0640459,49,853133
2869,NUETB,VA,2016,310966.0,Virginia,110.0640459,49,853133
2870,PAPRB,VA,2016,40.0,Virginia,110.0640459,49,853133
2872,REPRB,VA,2016,139807.0,Virginia,110.0640459,49,853133
2873,SOTCB,VA,2016,1105.0,Virginia,110.0640459,49,853133
2874,TEPRB,VA,2016,913066.0,Virginia,110.0640459,49,853133
2875,TETCB,VA,2016,2420341.0,Virginia,110.0640459,49,853133
2876,WDEXB,VA,2016,7829.0,Virginia,110.0640459,49,853133
2877,WDPRB,VA,2016,100463.0,Virginia,110.0640459,49,853133
2878,WDTCB,VA,2016,92635.0,Virginia,110.0640459,49,853133
2879,WSTCB,VA,2016,19320.0,Virginia,110.0640459,49,853133
2880,WWPRB,VA,2016,119784.0,Virginia,110.0640459,49,853133
2881,WYTCB,VA,2016,0.0,Virginia,110.0640459,49,853133
4373,BDPRP,VA,2017,81.0,Virginia,105.5838769,35,5764689
4376,CLPRB,VA,2017,343642.0,Virginia,105.5838769,35,5764689
4381,ENPRP,VA,2017,1265.0,Virginia,105.5838769,35,5764689
4382,GETCB,VA,2017,1701.0,Virginia,105.5838769,35,5764689
4383,HYTCB,VA,2017,10285.0,Virginia,105.5838769,35,5764689
4384,NCPRB,VA,2017,16020.0,Virginia,105.5838769,35,5764689
4385,NGMPB,VA,2017,121571.0,Virginia,105.5838769,35,5764689
4388,NUETB,VA,2017,319562.0,Virginia,105.5838769,35,5764689
4389,PAPRB,VA,2017,40.0,Virginia,105.5838769,35,5764689
4391,REPRB,VA,2017,140979.0,Virginia,105.5838769,35,5764689
4392,SOTCB,VA,2017,4034.0,Virginia,105.5838769,35,5764689
4393,TEPRB,VA,2017,925794.0,Virginia,105.5838769,35,5764689
