,MSN,StateCode,Year,Amount,State,CO2 Emissions (Mmt),TotalNumberofInvestments,TotalAmountofAssistance
1451,BDPRP,WV,2015,0.0,West Virginia,91.96307825,69,491426
1454,CLPRB,WV,2015,2447181.0,West Virginia,91.96307825,69,491426
1459,ENPRP,WV,2015,0.0,West Virginia,91.96307825,69,491426
1460,GETCB,WV,2015,32.0,West Virginia,91.96307825,69,491426
1461,HYTCB,WV,2015,12907.0,West Virginia,91.96307825,69,491426
1462,NCPRB,WV,2015,25858.0,West Virginia,91.96307825,69,491426
1463,NGMPB,WV,2015,1562536.0,West Virginia,91.96307825,69,491426
1466,NUETB,WV,2015,0.0,West Virginia,91.96307825,69,491426
1467,PAPRB,WV,2015,66157.0,West Virginia,91.96307825,69,491426
1469,REPRB,WV,2015,37954.0,West Virginia,91.96307825,69,491426
1470,SOTCB,WV,2015,93.0,West Virginia,91.96307825,69,491426
1471,TEPRB,WV,2015,4113828.0,West Virginia,91.96307825,69,491426
1472,TETCB,WV,2015,768657.0,West Virginia,91.96307825,69,491426
1473,WDEXB,WV,2015,0.0,West Virginia,91.96307825,69,491426
1474,WDPRB,WV,2015,11941.0,West Virginia,91.96307825,69,491426
1475,WDTCB,WV,2015,11941.0,West Virginia,91.96307825,69,491426
1476,WSTCB,WV,2015,155.0,West Virginia,91.96307825,69,491426
1477,WWPRB,WV,2015,12096.0,West Virginia,91.96307825,69,491426
1478,WYTCB,WV,2015,12825.0,West Virginia,91.96307825,69,491426
2970,BDPRP,WV,2016,0.0,West Virginia,94.48890006,54,614068
2973,CLPRB,WV,2016,2041073.0,West Virginia,94.48890006,54,614068
2978,ENPRP,WV,2016,0.0,West Virginia,94.48890006,54,614068
2979,GETCB,WV,2016,32.0,West Virginia,94.48890006,54,614068
2980,HYTCB,WV,2016,15124.0,West Virginia,94.48890006,54,614068
2981,NCPRB,WV,2016,28482.0,West Virginia,94.48890006,54,614068
2982,NGMPB,WV,2016,1667404.0,West Virginia,94.48890006,54,614068
2985,NUETB,WV,2016,0.0,West Virginia,94.48890006,54,614068
2986,PAPRB,WV,2016,43693.0,West Virginia,94.48890006,54,614068
2988,REPRB,WV,2016,39653.0,West Virginia,94.48890006,54,614068
2989,SOTCB,WV,2016,104.0,West Virginia,94.48890006,54,614068
2990,TEPRB,WV,2016,3791823.0,West Virginia,94.48890006,54,614068
2991,TETCB,WV,2016,762366.0,West Virginia,94.48890006,54,614068
2992,WDEXB,WV,2016,0.0,West Virginia,94.48890006,54,614068
2993,WDPRB,WV,2016,11081.0,West Virginia,94.48890006,54,614068
2994,WDTCB,WV,2016,11081.0,West Virginia,94.48890006,54,614068
2995,WSTCB,WV,2016,90.0,West Virginia,94.48890006,54,614068
2996,WWPRB,WV,2016,11171.0,West Virginia,94.48890006,54,614068
2997,WYTCB,WV,2016,13222.0,West Virginia,94.48890006,54,614068
4489,BDPRP,WV,2017,0.0,West Virginia,90.84162772,88,673413
4492,CLPRB,WV,2017,2390309.0,West Virginia,90.84162772,88,673413
4497,ENPRP,WV,2017,0.0,West Virginia,90.84162772,88,673413
4498,GETCB,WV,2017,32.0,West Virginia,90.84162772,88,673413
4499,HYTCB,WV,2017,15280.0,West Virginia,90.84162772,88,673413
4500,NCPRB,WV,2017,30937.0,West Virginia,90.84162772,88,673413
4501,NGMPB,WV,2017,1836375.0,West Virginia,90.84162772,88,673413
4504,NUETB,WV,2017,0.0,West Virginia,90.84162772,88,673413
4505,PAPRB,WV,2017,49372.0,West Virginia,90.84162772,88,673413
4507,REPRB,WV,2017,41643.0,West Virginia,90.84162772,88,673413
4508,SOTCB,WV,2017,126.0,West Virginia,90.84162772,88,673413
4509,TEPRB,WV,2017,4317700.0,West Virginia,90.84162772,88,673413
4510,TETCB,WV,2017,753016.0,West Virginia,90.84162772,88,673413
4511,WDEXB,WV,2017,0.0,West Virginia,90.84162772,88,673413
4512,WDPRB,WV,2017,10632.0,West Virginia,90.84162772,88,673413
4513,WDTCB,WV,2017,10632.0,West Virginia,90.84162772,88,673413
4514,WSTCB,WV,2017,75.0,West Virginia,90.84162772,88,673413
